total_attempts,correct_attempts,accuracy,weighted_score,recent_accuracy,accuracy_trend,streak_length,avg_time_per_q,days_since_last,easy_accuracy,medium_accuracy,hard_accuracy,global_accuracy,topics_attempted,level,optimal_difficulty
56,48,0.8764,36.9093,0.8867,-0.0184,16,11.79,17.64,0.9437,0.8667,0.9153,0.8477,7,advanced,hard
15,3,0.1846,2.2453,0.1534,-0.0774,1,48.22,62.34,0.3411,0.1067,0.1737,0.241,5,beginner,easy
17,4,0.213,1.0545,0.1115,-0.0769,0,16.39,73.38,0.6019,0.3687,0.0502,0.2659,2,beginner,easy
50,27,0.5303,10.363,0.7782,-0.0334,1,27.25,21.85,0.79,0.4625,0.2368,0.4647,15,intermediate,medium
8,4,0.4655,7.7459,0.6477,-0.0061,8,13.07,26.21,0.7685,0.558,0.1021,0.6412,7,intermediate,easy
4,1,0.2913,2.4485,0.4825,-0.1394,2,48.66,71.97,0.657,0.3618,0.041,0.3887,3,beginner,easy
15,11,0.7381,3.8934,0.4249,-0.0199,3,29.24,24.21,0.8803,0.5135,0.1704,0.6006,10,intermediate,medium
50,45,0.8562,35.7453,0.883,0.0783,7,10.23,20.56,0.8413,0.8368,0.8139,0.7011,15,advanced,hard
90,66,0.736,20.4377,0.8205,0.0454,5,8.02,0.11,0.8818,0.7727,0.6089,0.8065,18,advanced,hard
7,2,0.3492,1.6742,0.2449,0.0737,0,18.1,61.8,0.6703,0.3795,0.0858,0.3601,5,beginner,easy
17,5,0.3079,1.2822,0.5041,0.0514,2,20.37,12.58,0.6199,0.2222,0.0197,0.3791,5,beginner,easy
3,0,0.183,2.3277,0.2651,-0.0742,1,47.31,48.91,0.4343,0.2062,0.1246,0.277,2,beginner,easy
54,49,0.8811,8.0103,0.7868,-0.0301,11,15.9,25.17,0.9652,0.7348,0.5762,0.6982,16,advanced,hard
32,16,0.4888,3.695,0.4972,0.0037,2,9.71,19.56,0.737,0.5591,0.1166,0.4652,6,intermediate,easy
10,3,0.4095,1.7889,0.5096,-0.071,1,50.58,73.46,0.4094,0.1697,0.1072,0.2506,5,beginner,easy
15,8,0.5492,4.1046,0.7837,-0.0353,4,32.29,24.28,0.824,0.4928,0.2312,0.6719,13,intermediate,medium
18,16,0.9292,23.1861,1.0,0.037,7,16.5,15.27,1.0,0.9272,0.7639,0.8538,10,advanced,hard
2,1,0.4615,1.306,0.4794,0.0416,0,19.83,45.17,0.5492,0.2387,0.1284,0.336,2,beginner,easy
3,1,0.3989,2.6932,0.3027,-0.1123,1,30.22,40.25,0.4581,0.2475,0.1252,0.2435,3,beginner,easy
7,2,0.3359,0.8948,0.14,-0.1352,1,29.05,30.62,0.5987,0.1479,0.1183,0.2342,2,beginner,easy
20,10,0.5011,2.457,0.5561,0.0759,4,19.82,1.13,0.6481,0.3945,0.2358,0.4377,8,intermediate,medium
41,25,0.6164,7.273,0.7068,0.1285,8,25.41,42.73,0.757,0.5197,0.3293,0.542,15,intermediate,medium
15,8,0.5042,10.8012,0.7032,0.1493,2,23.03,16.24,0.9429,0.6341,0.1934,0.6504,15,intermediate,medium
20,5,0.2627,2.7393,0.3541,-0.017,1,45.82,22.34,0.4353,0.1557,0.0236,0.1756,3,beginner,easy
19,3,0.2097,1.9868,0.4866,-0.1083,0,44.35,36.42,0.5533,0.4501,0.0872,0.3161,1,beginner,easy
58,44,0.7599,12.918,0.7081,0.0714,14,7.77,8.09,0.872,0.7399,0.7161,0.9002,14,advanced,hard
3,3,1.0,0.2353,1.0,-0.1459,3,47.28,8.78,0.4228,0.1757,0.1606,0.2491,1,beginner,easy
74,68,0.9738,16.8529,0.767,0.0552,12,17.55,21.44,0.8986,0.8818,0.8117,0.9554,20,advanced,hard
13,4,0.2759,2.4324,0.0841,-0.0256,2,53.59,59.66,0.456,0.1463,0.0151,0.1921,1,beginner,easy
9,7,0.704,10.9838,0.4758,0.0554,8,21.4,30.78,0.8677,0.595,0.3465,0.4828,13,intermediate,medium
48,31,0.6508,6.8706,0.7085,0.1347,1,19.47,19.89,0.73,0.7441,0.4263,0.4353,13,intermediate,medium
36,25,0.6564,10.7532,0.4963,0.1196,3,14.52,41.53,0.7054,0.6739,0.1894,0.6129,7,intermediate,medium
60,29,0.4779,7.3264,0.4795,0.0798,8,12.25,30.53,0.673,0.6759,0.4308,0.5131,6,intermediate,easy
9,5,0.5058,9.7821,0.4789,0.117,6,33.08,19.29,0.687,0.3949,0.2557,0.4267,3,intermediate,medium
19,12,0.658,11.6641,0.5926,0.0237,6,16.04,42.13,0.6949,0.552,0.4042,0.5279,4,intermediate,medium
29,16,0.6044,8.6773,0.805,-0.0023,3,27.52,35.93,0.774,0.4761,0.2164,0.573,5,intermediate,medium
25,18,0.7254,6.5792,0.6336,-0.0362,0,33.38,6.01,0.9595,0.5775,0.2947,0.5242,8,intermediate,medium
4,1,0.2961,0.3915,0.4164,-0.1199,1,23.68,40.12,0.3588,0.4019,0.1431,0.2598,4,beginner,easy
141,133,0.9452,10.9826,0.9011,-0.0121,6,10.36,28.51,0.9115,0.7445,0.8909,0.9188,13,advanced,hard
11,3,0.2701,2.1944,0.0995,-0.1016,3,33.85,34.13,0.4944,0.2444,0.0446,0.2717,4,beginner,easy
144,141,0.9712,15.0168,0.9258,0.0489,10,5.8,3.38,0.8671,0.9056,0.8549,0.779,10,advanced,hard
52,48,0.9476,8.2488,0.8413653359774396,-0.1062,12,8.3,308.97437406907596,0.9297,0.8322,0.4865,0.901,23,advanced,hard
18,7,0.3777,1.658,0.1492,-0.1417,1,17.66,14.05,0.6833,0.3926,0.0592,0.2766,1,beginner,easy
23,11,0.506,7.4718,0.6442,0.0133,1,21.72,19.34,0.848,0.7162,0.2323,0.449,4,intermediate,easy
34,16,0.4749,4.4076,0.6208,0.1406,4,34.67,17.36,0.8312,0.6252,0.1982,0.4959,12,intermediate,easy
6,2,0.3063,2.8922,0.1978,-0.1407,2,41.67,76.81,0.3661,0.2718,0.1358,0.2053,3,beginner,easy
13,4,0.2633,1.686,0.2541,0.0211,0,45.6,50.86,0.4052,0.2369,0.0826,0.3952,3,beginner,easy
3,3,1.0,2.6641,1.0,0.0128,3,55.24,81.26,0.4002,0.2784,0.0,0.2378,3,beginner,easy
7,3,0.4611,2.8801,0.3213,0.0563,2,26.15,80.37,0.4687,0.2678,0.0514,0.1562,5,beginner,easy
30,15,0.512,8.469,0.5232,0.0798,6,13.04,18.55,0.7728,0.4524,0.2014,0.5425,10,intermediate,easy
33,22,0.7304,3.5093,0.8303,0.0875,7,12.5,41.17,0.9465,0.6712,0.2028,0.62,8,intermediate,medium
54,33,0.6536,10.8488,0.5821,0.0825,6,31.21,30.51,0.6585,0.5066,0.3506,0.5413,12,intermediate,medium
3,1,0.2319,0.5269,0.4748,-0.0414,0,53.66,1.61,0.4594,0.1892,0.1041,0.2935,3,beginner,easy
37,22,0.5616,11.4898,0.6724,0.1193,4,15.36,12.33,0.595,0.5635,0.1011,0.4042,7,intermediate,medium
17,6,0.3676,0.7298,0.2008,-0.1268,3,53.61,0.02,0.5437,0.1839,0.0555,0.4726,2,beginner,easy
118,112,0.9423,13.9183,0.9565,0.044,2,17.91,2.12,0.9791,0.7783,0.4598,0.76,13,advanced,hard
98,74,0.7157,30.2088,0.7718,0.0378,17,7.32,3.07,0.8138,0.8089,0.6063,0.6326,10,advanced,hard
30,17,0.6063,7.0569,0.5023,0.0749,0,10.78,18.15,0.9494,0.5569,0.28,0.5695,10,intermediate,medium
23,11,0.4894,10.3653,0.4309,0.039,4,14.18,17.32,0.9172,0.719,0.3781,0.6754,7,intermediate,easy
0,0,0.0,1.8968,0.0,-0.0742,0,46.64,53.12,0.6714,0.3094,0.1991,0.1877,4,beginner,easy
10,5,0.4721,2.4918,0.4443,-0.0823,3,54.31,19.13,0.4111,0.3601,0.0531,0.3333,5,beginner,easy
33,28,0.8581,14.1427,0.7577,0.0502,2,17.36,7.25,0.8609,0.7707,0.6076,0.7428,16,advanced,hard
35,30,0.8257,15.4445,0.9381,-0.0138,11,8.66,23.33,0.8482,0.8003,0.797,0.7241,24,advanced,hard
16,5,0.3476,1.1288,0.3568,0.0606,3,55.91,15.88,0.6403,0.3393,0.1656,0.2977,2,beginner,easy
72,60,0.8126,32.6897,0.6746,-0.0199,8,10.35,28.22,0.9659,0.8274,0.7007,0.66,21,advanced,hard
11,7,0.5429,5.2002,0.5431,0.126,3,32.22,25.7,0.7806,0.6446,0.1488,0.5247,12,intermediate,medium
4,1,0.1521,1.7148,0.4159,-0.0595,2,56.77,83.76,0.3694,0.3331,0.0848,0.1582,4,beginner,easy
28,16,0.6038,4.5279,0.6477,-0.0274,0,10.88,39.69,0.6559,0.6614,0.1736,0.4999,6,intermediate,medium
39,29,0.7188,8.6935,0.8202,0.0178,9,9.52,19.69,0.8341,0.8075,0.609,0.6826,14,advanced,hard
50,26,0.5252,6.4521,0.6439,0.0904,4,28.98,32.77,0.8317,0.6252,0.1196,0.5968,8,intermediate,medium
20,18,0.9378,27.183,0.8619,0.0878,11,18.73,23.13,0.9618,0.8047,0.8905,0.6922,14,advanced,hard
77,73,0.9325,38.4409,0.8848,0.0634,2,19.2,13.59,0.8986,0.734,0.8214,0.6964,17,advanced,hard
17,9,0.5149,7.1982,0.6811,0.0358,6,9.8,2.18,0.6768,0.5216,0.1425,0.5876,8,intermediate,medium
144,108,0.777,36.6656,0.7547,0.0155,3,9.37,15.77,0.9213,0.8557,0.6897,0.8283,16,advanced,hard
145,111,0.7788,13.7759,0.7767,0.0037,10,15.63,20.42,1.0,0.8995,0.8484,0.6929,19,advanced,hard
118,108,0.9054,37.3758,0.7776,0.0975,12,11.0,11.52,0.9188,0.731,0.6379,0.7946,5,advanced,hard
6,2,0.2833,0.2505,0.3328,0.0985,2,28.2,41.52,0.6348,0.3537,0.069,0.2457,5,beginner,easy
20,18,0.9319,13.4287,0.8797,0.0498,5,13.48,25.27,0.8918,0.7276,0.5498,0.687,16,advanced,hard
129,105,0.8017,31.9127,0.7522,-0.0018,9,11.91,9.99,0.9394,0.8638,0.5527,0.8397,5,advanced,hard
51,36,0.717,3.2571,0.4435,0.1214,7,28.08,36.13,0.7406,0.5895,0.2912,0.6013,3,intermediate,medium
1,1,1.0,2.921,1.0,0.0307,1,55.46,88.0,0.4627,0.3811,0.144,0.1675,2,beginner,easy
41,28,0.7271,4.1348,0.6984,0.0857,6,20.28,42.42,0.8053,0.5785,0.1529,0.569,3,intermediate,medium
95,74,0.8358,17.1303,0.7050753000080181,-0.1307,10,6.77,354.5425976612371,0.9627,0.8642,0.6213,0.8541,5,advanced,hard
43,21,0.4993,6.7872,0.4289,0.1395,7,10.08,12.73,0.9376,0.6139,0.3861,0.4324,12,intermediate,easy
22,16,0.6994,10.4294,0.6887,0.0653,2,28.16,6.52,0.9167,0.7282,0.2903,0.5809,5,intermediate,medium
5,2,0.3461,0.7543,0.0895,0.0024,1,43.49,7.49,0.5459,0.3339,0.0062,0.3466,3,beginner,easy
9,4,0.3981,2.0263,0.2718,-0.0743,0,18.43,54.18,0.6264,0.2515,0.0321,0.4433,5,beginner,easy
56,49,0.8906,21.0134,0.7508,0.0062,9,7.6,5.42,0.8604,0.9041,0.8273,0.7997,14,advanced,hard
48,25,0.4985,10.9452,0.7051,0.0702,1,24.22,10.94,0.6649,0.6429,0.0816,0.6577,8,intermediate,medium
112,107,0.945,9.9295,0.8882,-0.0149,11,10.99,5.9,0.9587,0.9081,0.4973,0.7806,5,advanced,hard
31,29,0.9336,35.2501,0.9984,-0.0161,16,14.41,7.83,0.9444,0.8749,0.8277,0.6966,23,advanced,hard
83,80,0.98,28.5159,0.9618,0.0502,9,9.99,16.66,0.9754,0.9021,0.6745,0.8367,11,advanced,hard
15,4,0.2206,2.8604,0.1182,-0.1303,2,38.34,66.29,0.5749,0.0751,0.0478,0.2831,5,beginner,easy
51,37,0.7252,6.8058,0.6754,0.0494,0,8.79,7.86,0.88,0.4106,0.34,0.6338,11,intermediate,medium
36,16,0.4466,11.2884,0.5558,0.0077,2,28.57,41.09,0.6076,0.5656,0.1753,0.5881,13,intermediate,easy
46,36,0.7472,23.6596,0.8058,-0.027,14,9.96,21.94,0.8639,0.7565,0.6311,0.7618,17,advanced,hard
9,7,0.7072,10.9338,0.6272,0.083,7,21.29,5.37,0.5681,0.596,0.3976,0.5871,8,intermediate,medium
14,6,0.4666,0.8158,0.3149,-0.0174,2,50.16,49.44,0.5559,0.1432,0.0833,0.3322,1,beginner,easy
0,0,0.0,2.1139,0.0,0.0089,0,32.91,68.96,0.7111,0.3279,0.231,0.4857,5,beginner,easy
44,42,0.9858,18.3249,0.8074,-0.0414,10,18.23,20.19,0.9487,0.9866,0.5715,0.9434,16,advanced,hard
143,123,0.8887,32.8891,1.0,0.0559,13,12.85,12.88,0.9214,0.8941,0.716,0.7308,25,advanced,hard
16,7,0.3989,1.9705,0.2656,0.084,2,36.15,9.92,0.5928,0.3681,0.1454,0.3899,2,beginner,easy
9,2,0.2013,0.2166,0.4309,-0.1432,0,50.76,60.97,0.282,0.2397,0.0671,0.3428,3,beginner,easy
64,56,0.9285,11.4674,1.0,0.0711,9,9.42,4.24,1.0,0.8615,0.7623,0.9635,18,advanced,hard
35,18,0.5215,5.4289,0.712,0.0097,8,10.52,41.23,0.9185,0.54,0.3836,0.4484,9,intermediate,medium
50,36,0.7011,4.2751,0.5909,0.0318,8,10.06,43.62,0.9323,0.4569,0.2897,0.4216,7,intermediate,medium
115,101,0.8311,27.1356,0.8462,0.031,10,14.35,26.29,0.8326,0.7526,0.6339,0.7495,24,advanced,hard
13,6,0.4104,0.8934,0.1953,-0.1296,3,53.85,62.81,0.4272,0.1188,0.0849,0.3892,3,beginner,easy
57,27,0.4589,5.2866,0.5004,0.1463,1,18.64,26.57,0.9196,0.6796,0.1405,0.411,14,intermediate,easy
34,28,0.8135,20.022,0.9099,-0.0257,5,7.49,13.13,0.9787,0.6926,0.6237,0.679,21,advanced,hard
131,103,0.8118,14.3715,0.8374,0.0196,14,14.53,3.72,0.8815,0.8201,0.7443,0.7249,20,advanced,hard
140,137,0.9731,21.2916,0.7073,0.0339,8,13.03,8.75,0.9544,0.8895,0.4531,0.8141,5,advanced,hard
6,2,0.27,1.2504,0.2175,-0.0609,0,32.22,54.79,0.3433,0.1466,0.0779,0.3005,2,beginner,easy
17,12,0.6903,7.9864,0.4614,0.0511,5,26.51,13.26,0.874,0.5501,0.3842,0.6573,10,intermediate,medium
47,40,0.8555,31.7803,0.82,-0.0416,14,7.76,22.38,0.9338,0.9103,0.8174,0.7764,15,advanced,hard
16,6,0.3592,0.1387,0.136,0.0475,1,23.05,50.36,0.3538,0.291,0.0451,0.3465,2,beginner,easy
20,5,0.2917,2.089,0.4596,-0.0192,0,39.87,24.24,0.5952,0.2518,0.0774,0.3378,5,beginner,easy
41,25,0.6246,5.476,0.7864,-0.0457,5,19.04,28.23,0.6912,0.5196,0.4071,0.5047,11,intermediate,medium
3,1,0.2626,1.0483,0.3452,0.0789,1,23.44,78.46,0.5036,0.2491,0.0898,0.2713,5,beginner,easy
15,3,0.2398,2.3446,0.3683,-0.1282,2,30.68,18.74,0.3864,0.254,0.0837,0.4168,1,beginner,easy
136,120,0.9202,29.5217,1.0,-0.0297,19,19.43,25.34,0.9581,0.9413,0.8649,0.701,24,advanced,hard
8,3,0.3377,2.9659,0.4014,-0.1004,2,41.02,88.37,0.3788,0.3138,0.1066,0.3486,5,beginner,easy
1,1,1.0,0.9928,1.0,-0.1162,1,52.7,25.66,0.5059,0.1367,0.0,0.3204,4,beginner,easy
20,10,0.534,10.9157,0.7228,-0.0405,3,31.42,10.49,0.7026,0.7067,0.3725,0.6855,10,intermediate,medium
13,2,0.1558,1.8795,0.4325,-0.0073,3,23.43,10.52,0.6085,0.188,0.1671,0.3585,3,beginner,easy
69,57,0.8126,31.5553,0.7661,-0.0357,3,5.78,27.93,0.9099,0.7778,0.7121,0.8204,24,advanced,hard
3,1,0.3462,2.6622,0.2278,0.0941,2,29.18,19.17,0.5613,0.3381,0.0984,0.4029,4,beginner,easy
133,106,0.7977,9.6026,0.9447,0.0811,11,10.4,20.3,0.9147,0.7297,0.8338,0.8911,5,advanced,hard
10,3,0.3776,2.4613,0.2062,0.0289,0,30.95,73.08,0.6315,0.4106,0.2386,0.2437,4,beginner,easy
6,3,0.4207,1.0129,0.1249,0.0176,3,32.7,36.22,0.3928,0.1632,0.0072,0.2691,3,beginner,easy
50,23,0.4694,7.2089,0.4489,0.1475,4,20.2,22.15,0.8698,0.4258,0.3052,0.4212,14,intermediate,easy
34,22,0.657,4.5243,0.7558,0.0967,8,21.14,18.95,0.6972,0.7536,0.2853,0.4596,7,intermediate,medium
33,19,0.6053,8.5093,0.8167,0.0107,2,21.69,29.25,0.6967,0.7744,0.2555,0.5959,8,intermediate,medium
30,21,0.7013,4.7142,0.7933,0.1056,3,8.67,37.03,0.8213,0.6362,0.4189,0.4764,8,intermediate,medium
11,4,0.3191,0.7834,0.3064,0.057,0,34.25,76.52,0.369,0.3277,0.031,0.3277,5,beginner,easy
140,113,0.8044,9.315,0.8231,0.0892,5,7.1,11.72,0.8505,0.7997,0.4878,0.8428,13,advanced,hard
55,35,0.6212,9.6428,0.4338,0.1151,1,30.86,18.63,0.8039,0.6837,0.1234,0.6863,15,intermediate,medium
11,5,0.4395,2.3493,0.4222,-0.1041,0,21.36,84.49,0.6685,0.3048,0.0937,0.192,3,beginner,easy
30,17,0.5133,11.2225,0.6206,0.07,5,11.87,24.76,0.7283,0.6004,0.0903,0.66,12,intermediate,medium
119,96,0.8142,26.4968,0.5526220777170544,-0.2616,12,15.83,124.65444991459208,0.9075,0.8298,0.4567,0.8642,6,advanced,hard
33,20,0.6428,5.1948,0.5587,0.0468,8,23.26,21.83,0.6676,0.5806,0.2781,0.6613,13,intermediate,medium
27,17,0.6061,9.7665,0.4047,0.1029,4,12.76,4.05,0.5712,0.5587,0.2014,0.5207,8,intermediate,medium
24,20,0.8372,12.1096,0.712,0.0997,5,15.85,6.02,0.9925,0.8555,0.867,0.7544,5,advanced,hard
31,15,0.5139,7.462,0.6463,0.0561,8,24.27,3.81,0.866,0.721,0.3378,0.7198,12,intermediate,easy
9,3,0.3788,0.269,0.3511,0.0851,2,19.4,80.69,0.6484,0.1448,0.0954,0.2781,4,beginner,easy
14,3,0.2293,2.3454,0.1437,-0.1114,1,59.92,51.91,0.481,0.3579,0.0388,0.2198,5,beginner,easy
44,31,0.6772,6.4544,0.6534,-0.0385,4,31.35,36.24,0.8018,0.5291,0.2006,0.4788,14,intermediate,medium
2,0,0.0,0.1223,0.0,0.0684,0,23.33,29.88,0.693,0.3474,0.0751,0.2212,4,beginner,easy
94,75,0.7659,31.5067,0.9003,0.0794,14,15.82,23.68,0.8522,0.7746,0.8217,0.6448,15,advanced,hard
3,2,0.6666666666666666,2.2571,0.6666666666666666,-0.1422,2,59.81,39.4,0.647,0.2906,0.1515,0.385,2,beginner,easy
39,25,0.648,4.9236,0.5542,0.0515,7,34.79,1.77,0.646,0.4592,0.3667,0.4409,5,intermediate,medium
8,1,0.1619,2.4704,0.1709,0.0818,2,36.86,33.88,0.5004,0.2661,0.1367,0.2334,5,beginner,easy
19,11,0.5791,2.6903,0.7023,0.109,8,25.7,30.19,0.8439,0.4503,0.4377,0.517,10,intermediate,medium
1,0,0.2508,1.7311,0.1581,0.071,3,30.0,31.33,0.4475,0.2097,0.1047,0.2826,4,beginner,easy
20,4,0.1802,2.8851,0.4991,-0.1262,3,50.05,64.83,0.5123,0.105,0.1848,0.2151,1,beginner,easy
34,17,0.4657,7.2071,0.4958,0.0166,7,9.1,1.36,0.7257,0.6436,0.3228,0.5079,8,intermediate,easy
99,91,0.9045,8.2497,0.8075,-0.0056,19,14.13,27.01,0.9523,0.7438,0.5207,0.7599,7,advanced,hard
9,4,0.4344,0.824,0.3212,-0.1005,3,18.11,11.37,0.4845,0.4114,0.1706,0.3395,1,beginner,easy
5,2,0.2503,0.4197,0.0723,-0.1092,1,19.13,32.43,0.3742,0.0557,0.0001,0.1023,4,beginner,easy
12,3,0.2584,2.8802,0.3145,-0.0509,1,59.24,10.91,0.5408,0.3125,0.1626,0.2495,5,beginner,easy
21,15,0.763,7.1769,0.8062,-0.021,6,30.87,1.2,0.9799,0.7613,0.4508,0.7465,8,intermediate,medium
52,26,0.4814,2.1515,0.4658,0.0646,8,24.88,3.33,0.8841,0.72,0.1956,0.5281,4,intermediate,easy
52,45,0.9028,29.7418,0.8252,0.0082,4,19.59,12.4,0.9008,0.9116,0.6486,0.8038,18,advanced,hard
13,5,0.4297,2.922,0.4966,0.0727,3,15.5,15.58,0.5718,0.2897,0.1162,0.3434,2,beginner,easy
16,12,0.7319,36.569,0.8569,0.0693,17,11.05,27.19,0.8812,0.7587,0.5048,0.8487,8,advanced,hard
18,5,0.2504,1.4338,0.4013,0.0659,2,26.98,13.51,0.3297,0.1203,0.0909,0.2594,5,beginner,easy
47,39,0.7821,27.7674,0.4981636028552018,-0.2839,8,11.61,318.1859040968046,0.9457,0.6876,0.689,0.645,12,advanced,hard
49,33,0.657,5.9441,0.7774,0.0814,5,11.66,33.15,0.8133,0.5377,0.3396,0.5181,12,intermediate,medium
20,6,0.3949,2.9038,0.3785,-0.1435,3,36.25,38.47,0.6651,0.2574,0.2723,0.311,4,beginner,easy
56,32,0.5185,10.5085,0.5054,0.0308,3,29.48,34.45,0.6783,0.6179,0.0827,0.3441,6,intermediate,medium
9,5,0.55,7.1065,0.5554,-0.0253,1,30.6,38.35,0.914,0.4149,0.3518,0.439,5,intermediate,medium
7,3,0.4184,2.3535,0.1356,-0.0757,3,59.55,79.64,0.504,0.4213,0.0971,0.2519,5,beginner,easy
127,105,0.7793,29.9911,0.8426,0.0517,13,7.33,29.47,0.9423,0.7383,0.6322,0.8688,21,advanced,hard
13,5,0.3319,1.6541,0.0697,-0.0964,2,35.9,33.38,0.3642,0.263,0.0433,0.3647,2,beginner,easy
53,30,0.5909,2.4938,0.6755,0.1022,5,32.95,39.83,0.6798,0.4334,0.2636,0.5812,13,intermediate,medium
47,39,0.8601,11.7902,0.935,0.0083,12,5.37,20.92,0.958,0.873,0.8904,0.77,13,advanced,hard
17,11,0.735,9.6568,0.5801,0.0098,7,16.73,28.56,0.8781,0.6997,0.3435,0.5883,14,intermediate,medium
10,5,0.4618,1.2325,0.233,0.0373,1,45.09,2.35,0.6155,0.2195,0.1092,0.2404,4,beginner,easy
19,6,0.3059,2.7178,0.1693,0.0397,3,40.93,34.56,0.6474,0.253,0.1237,0.4002,1,beginner,easy
31,29,0.9824,17.3706,0.7835,0.0542,10,9.94,12.41,0.9246,0.7954,0.5193,0.8474,25,advanced,hard
27,15,0.5889,8.7211,0.7423,0.0774,2,14.3,6.51,0.6836,0.6332,0.2513,0.4351,8,intermediate,medium
20,3,0.1824,0.8943,0.2349,0.0761,2,35.05,87.85,0.5129,0.4277,0.1034,0.2903,3,beginner,easy
3,1,0.3333333333333333,1.121,0.3333333333333333,0.0025,1,54.97,83.93,0.4402,0.2461,0.0677,0.2068,3,beginner,easy
19,7,0.4081,0.2154,0.3414,0.0898,2,45.84,55.2,0.7244,0.383,0.1486,0.2087,5,beginner,easy
1,0,0.0,1.443,0.0,-0.0822,0,24.33,54.74,0.6096,0.3924,0.0145,0.2504,2,beginner,easy
68,50,0.7678,8.3102,1.0,0.0403,12,17.12,9.05,0.9707,0.7591,0.7105,0.8334,6,advanced,hard
59,35,0.6068,11.8078,0.4666,-0.0336,2,20.99,31.05,0.9522,0.5508,0.3271,0.6419,4,intermediate,medium
52,36,0.6695,5.1434,0.4258,0.0667,0,28.15,0.32,0.6019,0.7029,0.2828,0.5949,4,intermediate,medium
11,5,0.487,2.1765,0.1666,0.0025,0,45.32,30.59,0.4287,0.3046,0.2115,0.2503,2,beginner,easy
15,10,0.7377,5.1247,0.8425,0.0559,3,18.67,4.83,0.7809,0.7907,0.2717,0.5354,6,intermediate,medium
16,4,0.214,2.924,0.2816,-0.0956,3,43.6,41.02,0.4745,0.1904,0.0,0.137,3,beginner,easy
35,25,0.7222,7.5385,0.6949,-0.04,4,30.25,0.17,0.8835,0.7072,0.3447,0.6945,10,intermediate,medium
134,99,0.7094,26.1205,0.4612187690358751,-0.2482,3,17.32,251.3010428279929,0.9096,0.8178,0.6995,0.6976,10,advanced,hard
5,2,0.356,1.6333,0.1107,-0.1302,2,42.5,15.01,0.4397,0.0812,0.0263,0.2383,2,beginner,easy
6,2,0.2531,1.4005,0.1594,-0.1446,3,41.71,62.5,0.5774,0.227,0.0337,0.352,5,beginner,easy
113,108,0.9435,22.5137,0.8588,0.0263,20,17.65,10.71,0.9667,0.7518,0.8193,0.6827,24,advanced,hard
17,3,0.1447,0.6771,0.2342,-0.0933,3,24.19,22.61,0.4831,0.2334,0.1382,0.3804,1,beginner,easy
32,25,0.7822,38.6542,0.7676,0.053,8,10.84,16.47,0.8992,0.7565,0.6941,0.6972,15,advanced,hard
9,2,0.2177,2.6675,0.3009,-0.0348,2,52.99,58.54,0.5702,0.1133,0.0982,0.3416,2,beginner,easy
15,7,0.4534,3.0201,0.496,0.0724,7,19.22,11.97,0.7698,0.5499,0.3195,0.5761,9,intermediate,easy
42,25,0.562,4.0598,0.7185,0.1349,7,15.59,19.22,0.8043,0.7114,0.3961,0.4804,9,intermediate,medium
10,5,0.5343,6.1895,0.4112,-0.0226,8,31.74,2.43,0.8843,0.5143,0.4241,0.4976,10,intermediate,medium
89,84,0.9925,9.3557,0.9642,-0.0356,10,9.49,5.15,0.9492,0.7885,0.7641,0.7402,16,advanced,hard
18,6,0.3168,1.917,0.2097,-0.094,1,45.13,69.14,0.6499,0.2016,0.1171,0.1494,1,beginner,easy
1,0,0.2667,1.2351,0.437,-0.094,2,24.93,9.98,0.3234,0.1983,0.0154,0.367,5,beginner,easy
15,6,0.3859,1.4867,0.3184,-0.1391,1,17.11,82.66,0.5245,0.2064,0.0899,0.2619,5,beginner,easy
8,1,0.1855,1.5977,0.1852,0.078,0,51.69,64.02,0.4584,0.2585,0.0566,0.3768,4,beginner,easy
47,22,0.4728,3.099,0.7212,0.1127,8,8.34,26.14,0.85,0.5134,0.3598,0.5295,5,intermediate,easy
22,18,0.7797,12.6254,0.8307,-0.0448,8,7.58,13.87,0.8879,0.8933,0.7434,0.8118,20,advanced,hard
25,16,0.6769,11.1558,0.6762,0.0473,7,31.24,41.2,0.9352,0.4833,0.4329,0.5027,7,intermediate,medium
36,20,0.6431,9.5161,0.7869,0.1008,2,13.37,6.01,1.0,0.7132,0.2768,0.5358,5,intermediate,medium
3,1,0.3011,0.3928,0.2279,0.0187,0,38.4,89.92,0.6332,0.2305,0.0,0.2209,4,beginner,easy
14,4,0.2705,0.3881,0.2606,-0.1301,0,15.52,82.85,0.6464,0.3099,0.0022,0.4144,5,beginner,easy
146,111,0.7768,36.9356,0.9359,0.0441,14,19.52,23.78,0.969,0.7219,0.5086,0.7524,11,advanced,hard
12,2,0.1878,1.4406,0.4634,-0.0955,0,41.08,7.16,0.6844,0.2911,0.2163,0.3078,3,beginner,easy
65,51,0.7303,16.4769,0.6909,0.0569,8,10.53,20.09,0.8132,0.7612,0.6483,0.6624,16,advanced,hard
37,27,0.6932,3.5647,0.6034,-0.048,5,14.83,1.02,0.6124,0.6118,0.2797,0.4523,5,intermediate,medium
25,15,0.5824,2.2324,0.5929,-0.035,7,24.11,7.06,0.6744,0.6076,0.2879,0.5114,12,intermediate,medium
12,3,0.2604,0.992,0.1475,0.0157,2,28.65,27.11,0.5591,0.1686,0.2209,0.3478,4,beginner,easy
12,4,0.3595,2.8597,0.2091,-0.0431,2,38.63,55.47,0.4351,0.3131,0.2074,0.4073,4,beginner,easy
